BUSINESS_ID,STARS
x5vSE0-NO_YSZtOnitLWuQ,3
rt-EKmn8xpUuWdePYPPcHQ,2
KcbFFh7xfBLl2YeXQRhUNg,3
wHeG9RYU3_k3wlCgkLGDRA,3
XvTBQotmJpVPjPNaMM7qLA,3
x2nALssJGy_6p74ddxx3GQ,3
TRJHqPTKFFFglV0OGXS3Ig,2
oaOT2G5mIE8yOPZ55RM4cA,5
AJ8DDFm6QaihAPZI3wFBHw,4
sKWZ_tAOVMZoC4Qk8_Bd4A,1
UY13CTgUqriT-fMxT2APLw,5
p4GMQauk2iqZnN6cj81s3g,2
4Iak803d4fyY358jSMRasg,4
DTvcpHf2gGKgSujUVXA7sA,1
9MJDPVeLqAWLqdWF4Heqvg,3
QYIhMNwxXejDoCr-F1BxDg,4
Wnq5to0-jXyh0-_jRZ6VOQ,3
-cBQKodqi77Q0vk-9iDvQA,3
yVLbAdSQQURBNWsJIxzmfw,3
qBMQUR66_7pmld8NmGxVFg,5
IUTU_8qM7M8j9A1TbmMjYA,4
8F-CalsRSKiPjjsx8ql8Lg,4
qgAZPDQStZP_Y5XTiQ6UqA,3
P6c0lV9DeJ6ofntpTWyqhA,4
21fK0m8sQFbRQv3RlskE2w,2
XfNDmxQiG5nZVZe-JY10NA,4
6Z3lZEEIKv6opbyavmnGbA,4
ndQTAJzhhkrl1i5ToEGSZw,5
HlkjT-4MXW_efuEydjrR1A,5
YMZy_nGxtJtuQvflM6Ltww,5
2rLuOMi6Q6zzqUU8ltreSA,1
JzOp695tclcNCNMuBl7oxA,4
0TBTV3q6QXCn9vNhy3Xi2w,4
Hr5h_LG9TMBLlFz_Oici0A,5
sZf_KrF9ZLC7z4jiLGgVOw,3
ZHQU79PMUGCX0fEoyCcWlw,4
0U-1Wkl7y-wv39qM6WKL_w,4
RyJIi1IP0UQ5qGbwazgsIA,2
-yXkMzPPQ2PvzIC-NrH-Sg,3
GIhzzb9tjqLCYdNP_k3-dQ,3
vKgsXz3W4BIquVcgJs19sQ,5
zJCbSgXWFWwvKiIRFFuiTA,4
iikAHVLZrZn7Zy1aEPD25A,4
5jxn3_C5rjBow-aiBqcQNg,4
QBLl3bVLWZB4-jS-O_MKug,5
6a-EXpakLH9tLtv8SDWdWQ,4
T1tvWywCdTv8YiK-r_roLw,3
NmbBDuALeotUv01k7Qqr7g,3
QYIhMNwxXejDoCr-F1BxDg,3
Xwf022IffmZPq6V25iomDg,3
Se9dkAqNfBoOoAbKT0LEsg,5
P1Ks4okkg58xKTXLjGp4iQ,2
9R8Ia-EwSBJR5CUHN1K9yw,4
uO81UPtXJK9L0s1rOkwMjQ,2
BYQXVyuarIvLi32JzMLSVg,4
